GO_0003674|molecular_function
GO_0044688|7,8-dihydro-D-neopterin 2',3'-cyclic phosphate phosphodiesterase activity
GO_2001116|methanopterin-containing compound biosynthetic process
GO_0044689|7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity
GO_0044690|
GO_1903692|methionine import across plasma membrane
GO_0044691|tooth eruption
GO_0044692|exoribonuclease activator activity
GO_0044693|trehalose:proton symporter activity
GO_0044694|pore-mediated entry of viral genome into host cell
GO_0044695|Dsc E3 ubiquitin ligase complex
GO_0044696|killing by virus of host cell by post-segregational killing
GO_0044697|HICS complex
GO_0044698|obsolete morphogenesis of symbiont in host cell
GO_0044699|
GO_0044700|
GO_0044701|obsolete response to stimulus by single organism
GO_0044702|
GO_0044704|
GO_0044705|
GO_0044707|
GO_0044708|
GO_0044709|
GO_0044710|
GO_0044711|
GO_0044712|
GO_0044713|
GO_0044714|
GO_0044715|8-oxo-dGDP phosphatase activity
GO_0044716|8-oxo-GDP phosphatase activity
GO_0044717|8-hydroxy-dADP phosphatase activity
GO_0044719|regulation of imaginal disc-derived wing size
GO_0044720|negative regulation of imaginal disc-derived wing size
GO_0044721|protein import into peroxisome matrix, substrate release
GO_0044722|renal phosphate excretion
GO_0044723|
GO_0044724|
GO_0044725|epigenetic programming in the zygotic pronuclei
GO_0044726|epigenetic programing of female pronucleus
GO_0044727|epigenetic programing of male pronucleus
GO_0044728|obsolete DNA methylation or demethylation
GO_0044729|hemi-methylated DNA-binding
GO_0044730|bone sialoprotein binding
GO_0044731|Ost-alpha/Ost-beta complex
GO_0044732|mitotic spindle pole body
GO_0044733|envenomation resulting in modulation of acid-sensing ion channel activity in another organism
GO_0044737|modulation of acid-sensing ion channel in another organism
GO_0044734|envenomation resulting in positive regulation of acid-sensing ion channel activity in another organism
GO_0044739|positive regulation of acid-sensing ion channel in another organism
GO_0044735|envenomation resulting in negative regulation of acid-sensing ion channel activity in another organism
GO_0044738|negative regulation of acid-sensing ion channel in another organism
GO_0044736|acid-sensing ion channel activity
GO_0044740|negative regulation of sensory perception of pain in another organism
GO_0044741|envenomation resulting in negative regulation of sensory perception of pain in another organism
GO_0044742|envenomation resulting in modulation of sensory perception of pain in another organism
GO_0044744|
GO_0044745|
GO_0044746|
GO_0044747|pre-miRNA 3'-end processing
GO_0044748|3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing
GO_0044749|
GO_0044750|high-affinity nickel cation transmembrane transporter activity
GO_0044751|cellular response to human chorionic gonadotropin stimulus
GO_0044752|response to human chorionic gonadotropin
GO_0071371|cellular response to gonadotropin stimulus
GO_0044753|amphisome
GO_0044754|autolysosome
GO_0044755|
GO_0098717|pantothenate import across plasma membrane
GO_0044756|
GO_1905135|biotin import across plasma membrane
GO_0044757|
GO_1905136|dethiobiotin import across plasma membrane
GO_0044758|modulation by symbiont of host synaptic transmission
GO_0044759|negative regulation by symbiont of host synaptic transmission
GO_0044760|modulation by symbiont of host cholinergic synaptic transmission
GO_0044761|negative regulation by symbiont of host cholinergic synaptic transmission
GO_0044762|negative regulation by symbiont of host neurotransmitter secretion
GO_0044763|
GO_0044764|obsolete multi-organism cellular process
GO_0044765|
GO_0044766|obsolete multi-organism transport
GO_0044767|
GO_0044768|
GO_0044769|ATPase activity, coupled to transmembrane movement of ions, rotational mechanism
GO_0044775|DNA polymerase III, beta sliding clamp processivity factor complex
GO_1902103|negative regulation of metaphase/anaphase transition of meiotic cell cycle
GO_0044780|bacterial-type flagellum assembly
GO_0044781|bacterial-type flagellum organization
GO_0044783|
GO_0044785|metaphase/anaphase transition of meiotic cell cycle
GO_0044789|obsolete modulation by host of viral release from host cell
GO_0044790|suppression of viral release by host
GO_0044791|obsolete positive regulation by host of viral release from host cell
GO_0044792|
GO_0044794|positive regulation by host of viral process
GO_0044795|trans-Golgi network to recycling endosome transport
GO_0044797|
GO_0044798|
GO_0044799|NarGHI complex
GO_0070470|plasma membrane respirasome
GO_0044800|obsolete multi-organism membrane fusion
GO_0044801|
GO_0044802|
GO_0044803|obsolete multi-organism membrane organization
GO_0044805|obsolete late nucleophagy
GO_0044806|G-quadruplex DNA unwinding
GO_0044807|macrophage migration inhibitory factor production
GO_0044808|oncostatin M production
GO_0044809|chemokine (C-C motif) ligand 17 production
GO_0044810|
GO_0044811|
GO_0072479|response to mitotic cell cycle spindle assembly checkpoint signaling
GO_0044812|fermentative hydrogen production
GO_1902422|hydrogen biosynthetic process
GO_0044813|glycolytic fermentation via PFOR pathway
GO_0044814|glycolytic fermentation via PFL pathway
GO_0044815|obsolete DNA packaging complex
GO_0044816|Nsk1-Dlc1 complex
GO_0044817|hydrogen generation via biophotolysis
GO_0044820|mitotic telomere tethering at nuclear periphery
GO_0120109|mitotic telomere clustering and tethering at nuclear periphery
GO_0044821|meiotic telomere tethering at nuclear periphery
GO_0044822|
GO_0044823|retroviral integrase activity
GO_0044824|retroviral 3' processing activity
GO_0044825|obsolete retroviral strand transfer activity
GO_0044827|modulation by host of viral genome replication
GO_0044828|negative regulation by host of viral genome replication
GO_0044829|positive regulation by host of viral genome replication
GO_0044830|modulation by host of viral RNA genome replication
GO_0044831|modulation by virus of host cytokine production
GO_0044832|induction by virus of host cytokine production
GO_0044833|modulation by virus of host protein transport
GO_0044834|retroviral intasome
GO_0044835|hydrogen generation via nitrogenase
GO_0044836|D-xylose fermentation
GO_0044838|cell quiescence
GO_0044840|gut granule
GO_0044841|gut granule membrane
GO_0044842|gut granule lumen
GO_0044844|meiotic interphase II
GO_0051328|meiotic interphase
GO_0044845|chain elongation of O-linked mannose residue
GO_0044846|negative regulation by symbiont of indole acetic acid levels in host
GO_0044847|iron acquisition from host
GO_0044849|estrous cycle
GO_0044850|menstrual cycle
GO_0044852|obsolete nonrepetitive DNA condensation
GO_0045121|membrane raft
GO_0044854|plasma membrane raft assembly
GO_0044857|plasma membrane raft organization
GO_0044855|plasma membrane raft distribution
GO_0044856|plasma membrane raft localization
GO_0044858|plasma membrane raft polarization
GO_0044859|protein insertion into plasma membrane raft
GO_0044860|protein localization to plasma membrane raft
GO_0071210|protein insertion into membrane raft
GO_0098737|protein insertion into plasma membrane
GO_1990778|protein localization to cell periphery
GO_0044861|protein transport into plasma membrane raft
GO_0044862|protein transport out of plasma membrane raft
GO_0099632|protein transport within plasma membrane
GO_0044863|modulation by virus of host cell division
GO_0044864|positive regulation by virus of host cell division
GO_0044865|negative regulation by virus of host cell division
GO_0044866|modulation by host of viral exo-alpha-sialidase activity
GO_0044867|modulation by host of viral catalytic activity
GO_0044868|modulation by host of viral molecular function
GO_0044869|negative regulation by host of viral exo-alpha-sialidase activity
GO_0052422|modulation by host of symbiont catalytic activity
GO_0052403|negative regulation by host of symbiont catalytic activity
GO_0044870|modulation by host of viral glycoprotein metabolic process
GO_0044871|negative regulation by host of viral glycoprotein metabolic process
GO_0044873|lipoprotein localization to membrane
GO_0044874|lipoprotein localization to outer membrane
GO_0044875|gamma-glutamyl hercynylcysteine sulfoxide synthase activity
GO_0052704|ergothioneine biosynthesis from histidine via gamma-glutamyl-hercynylcysteine sulfoxide
GO_0044876|hercynylselenocysteine synthase
GO_0044878|mitotic cytokinesis checkpoint signaling
GO_0044879|mitotic morphogenesis checkpoint signaling
GO_0045001|
GO_0045004|DNA replication proofreading
GO_0045006|DNA deamination
GO_0045007|depurination
GO_0045008|depyrimidination
GO_0045011|
GO_0045012|obsolete MHC class II receptor activity
GO_0061985|carbon catabolite repression
GO_0061986|negative regulation of transcription by glucose
GO_0045015|HDEL sequence binding
GO_0045016|mitochondrial magnesium ion transmembrane transport
GO_0045017|glycerolipid biosynthetic process
GO_0045018|retrograde transport, vacuole to Golgi
GO_0045019|negative regulation of nitric oxide biosynthetic process
GO_0045428|regulation of nitric oxide biosynthetic process
GO_1904406|negative regulation of nitric oxide metabolic process
GO_0045020|obsolete error-prone DNA repair
GO_0045021|obsolete error-free DNA repair
GO_0045022|early endosome to late endosome transport
GO_0098927|vesicle-mediated transport between endosomal compartments
GO_0045023|G0 to G1 transition
GO_0045024|obsolete peptidyl-glutamyl peptide hydrolyzing enzyme activity
GO_0045025|mitochondrial degradosome
GO_0045027|DNA end binding
GO_0045029|G protein-coupled UDP receptor activity
GO_0071553|G protein-coupled pyrimidinergic nucleotide receptor activity
GO_0045031|G protein-coupled ATP receptor activity
GO_0045032|
GO_0045033|peroxisome inheritance
GO_0045035|sensory organ precursor cell division
GO_0045036|protein targeting to chloroplast
GO_0072596|establishment of protein localization to chloroplast
GO_0045037|protein import into chloroplast stroma
GO_0045038|protein import into chloroplast thylakoid membrane
GO_0045039|protein insertion into mitochondrial inner membrane
GO_0045040|protein insertion into mitochondrial outer membrane
GO_0045041|protein import into mitochondrial intermembrane space
GO_0045042|obsolete protein import into mitochondrial intermembrane space, conservative
GO_0045043|
GO_0045044|
GO_0045045|obsolete secretory pathway
GO_0045046|protein import into peroxisome membrane
GO_0072599|establishment of protein localization to endoplasmic reticulum
GO_0045048|protein insertion into ER membrane
GO_0045049|protein insertion into ER membrane by N-terminal cleaved signal sequence
GO_0045050|protein insertion into ER membrane by stop-transfer membrane-anchor sequence
GO_0045051|protein insertion into ER membrane by internal uncleaved signal-anchor sequence
GO_0045052|obsolete protein insertion into ER membrane by GPI attachment sequence
